Sun Jan  8 12:11:03 2023    profile_job

         97828 function calls (96635 primitive calls) in 55.695 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {built-in method posix.read}
        9    0.000    0.000    0.000    0.000 {method 'register' of 'select.epoll' objects}
      210    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
      539    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      577    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/base_events.py:1873(get_debug)
     1005    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
      397    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/typing.py:759(__setattr__)
       11    0.000    0.000    0.000    0.000 {method '_accept' of '_socket.socket' objects}
    22/18    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/typing.py:255(inner)
      364    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      104    0.000    0.000    0.000    0.000 {method 'total_seconds' of 'datetime.timedelta' objects}
       97    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
        7    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/streams.py:88(factory)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
     1436    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      248    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
      102    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
       16    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/abc.py:84(__new__)
       45    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/sre_parse.py:96(closegroup)
        1    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/opcode.py:2(<module>)
      103    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
        1    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/json/encoder.py:1(<module>)
       14    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/selectors.py:180(get_key)
        1    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/sslproto.py:1(<module>)
       19    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/sre_compile.py:536(_compile_info)
        7    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/base_events.py:195(_set_nodelay)
      210    0.000    0.000    0.000    0.000 {method 'count' of 'str' objects}
      323    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/base_events.py:506(_check_closed)
        5    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/selector_events.py:270(_remove_reader)
        1    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/subprocess.py:980(communicate)
       14    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/socket.py:512(family)
       28    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/socket.py:97(_intenum_converter)
      507    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
      185    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
     1481    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      185    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
        1    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/base_futures.py:1(<module>)
      505    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/subprocess.py:1097(_close_pipe_fds)
      225    0.000    0.000    0.000    0.000 {method 'cancelled' of '_asyncio.Future' objects}
      210    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/streams.py:188(_drain_helper)
        9    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/tasks.py:653(ensure_future)
        1    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/candidknots/lib/python3.8/site-packages/heapq_max/__init__.py:1(<module>)
       83    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
        1    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/struct.py:3(<module>)
       14    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/selectors.py:69(__getitem__)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
        1    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/queue.py:1(<module>)
       62    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
       76    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/enum.py:557(__new__)
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
